2023-08-05 12:13:12.653825	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-05 12:18:09.983197	https://biomas.ufop.br/news/divulga%C3%A7%C3%A3o-do-resultado-preliminar-da-prova-escrita-e-hor%C3%A1rio-de-entrevistas?page=2	76,54	19	45	12	34	1	4	5	7	1	0	0	0	0	0	
2023-08-05 12:18:22.703553	https://propp.ufop.br/en/news/fapemig-chamada-no-0062023	63,58	17	57	5	47	1	2	6	6	1	0	0	0	4	2	
2023-08-05 12:18:19.560028	https://cead.ufop.br/index.php/pedagogia?layout=edit&id=1095	72,99	56	165	19	151	0	8	36	6	1	0	0	0	0	0	
2023-08-05 12:18:27.205058	https://conan.ufop.br/media-gallery/detail/13493/25501	80,13	8	53	4	42	1	3	2	8	1	0	0	0	0	0	
2023-08-05 12:18:29.444049	https://propp.ufop.br/pt-br/news/uma-avaliacao-da-estrutura-do-mercado-de-trabalho-crescimento-economico-e-seus-efeitos-sobre-o	63,58	17	56	5	46	1	2	6	6	1	0	0	0	4	2	
2023-08-05 12:18:30.096460	http://prograd.ufop.br/comunicados?page=19	64,92	18	75	4	60	1	5	8	8	1	0	0	0	4	2	
2023-08-05 12:18:38.620549	https://periodicos.ufop.br/ephemera/citationstylelanguage/get/acm-sig-proceedings?submissionId=4969	86,07	4	0	3	0	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:18:36.729613	http://www.vestibular.ufop.br/index.php?option=com_content&view=article&id=1236:portaria-prograd-n-12-2023-resultados-verificacao-documental-chamadas-1-e-2&catid=227&Itemid=215	80,83	9	36	8	33	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:18:38.145539	https://web.archive.org/web/20190119173140/https://www.flickr.com/photos/ufop/	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:18:39.053712	https://cacic.decom.ufop.br/news/vaga-para-bolsista-tempor%C3%A1rioa-na-escola-de-nutri%C3%A7%C3%A3o-enut	83,8	7	37	2	29	1	3	3	4	1	0	0	0	0	1	
2023-08-05 12:18:58.165866	https://periodicos.ufop.br/raf/article/download/711/667/	86,07	4	4	3	4	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:18:32.919385	http://tv.ufop.br/diego-fernandes	72,02	9	46	4	39	1	2	0	3	0	0	0	0	4	2	
2023-08-05 12:18:59.903404	https://periodicos.ufop.br/caletroscopio/article/view/3875	85,6	6	20	4	7	1	3	0	9	0	0	0	0	1	1	
2023-08-05 12:19:08.255707	https://periodicos.ufop.br/ephemera/citationstylelanguage/get/acs-nano?submissionId=5565	86,07	4	0	3	0	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:19:06.856087	https://periodicos.ufop.br/raf/article/download/951/804/	86,07	4	19	3	19	0	0	1	0	0	0	0	0	0	0	
