2023-08-05 15:25:02.801084	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-06 08:49:26.747353	https://iceb.ufop.br/news/oportunidade-processo-seletivo-fimat?page=3	74,98	24	172	13	165	1	3	9	4	1	0	0	0	0	0	
2023-08-06 08:49:59.283694	https://propp.ufop.br/en/news?page=7	68,11	21	90	7	79	1	2	8	6	1	0	0	0	4	3	
2023-08-06 08:50:05.215597	https://moodle.aberta.ufop.br/enrol/index.php?id=124&lang=es	80,14	18	66	6	50	1	8	10	4	1	0	0	0	0	4	
2023-08-06 08:49:46.359580	https://caint.ufop.br/mapa-de-convenios	77,44	22	97	7	88	0	4	14	2	1	0	0	0	0	3	
2023-08-06 08:50:06.735452	https://moodle.aberta.ufop.br/course/index.php?categoryid=19&lang=pt_br	83,34	16	82	3	69	0	7	12	1	1	0	0	0	0	5	
2023-08-06 08:49:24.844478	http://dri.ufop.br/read/1859-oferta-de-vagas-para-cursos-de-idiomas-on-line-e-gratuitos-rede-andifes-isf-3	77,16	31	151	12	138	0	5	18	5	1	0	0	0	0	3	
2023-08-06 08:50:09.505783	https://www.propec.ufop.br/mecanica-computacional-lamec	75,88	72	233	8	229	1	2	62	2	1	0	0	0	0	0	
2023-08-06 08:49:27.680760	https://caint.ufop.br/read/1728-dri-realiza-sessao-informativa-para-interessados-no-programa-emerging-leaders-in-the-america-s-program-elap	77,24	28	121	9	109	0	4	18	5	1	0	0	0	0	3	
2023-08-06 08:50:00.164670	https://dri.ufop.br/apresentacao	77,44	22	108	7	98	0	5	14	2	1	0	0	0	0	3	
2023-08-06 08:50:13.158570	https://demin.ufop.br/	82,33	10	62	5	54	1	3	3	4	1	0	0	0	0	1	
2023-08-06 08:50:16.851988	http://www.dri.ufop.br/en/ouro-preto-info-en/ouro-preto-history	88,17	10	76	4	68	0	4	5	1	1	0	0	0	0	3	
2023-08-06 08:50:16.415756	https://posletras.ufop.br/ano-2015	77,52	144	153	28	140	1	3	114	10	1	0	0	0	0	0	
2023-08-06 08:50:07.545574	http://www.decom.ufop.br/gaid/?p=2	82,83	18	54	5	43	1	3	12	5	0	0	0	0	0	3	
2023-08-06 08:49:51.494959	https://eivaiumlinguistaai.ufop.br/todos-os-posts/	81,59	130	309	34	220	1	13	94	57	0	18	0	0	1	1	
2023-08-06 08:50:42.434992	https://coee.ufop.br/membros-ndee	89,21	6	30	5	20	1	3	0	6	0	0	0	0	0	1	
2023-08-06 08:50:52.062400	https://moodle.aberta.ufop.br/course/index.php?categoryid=8	83,34	13	67	3	54	0	7	9	1	1	0	0	0	0	5	
2023-08-06 08:50:13.934042	http://www.dri.ufop.br/en/read/878-ufop-receives-representatives-from-the-schmalkalden-university-of-applied-sciences-germany	77,53	17	86	5	76	0	4	11	3	1	0	0	0	0	3	
2023-08-06 08:50:44.149790	https://laqua.ufop.br/news/circuito-de-lives-nata%C3%A7%C3%A3o?page=1	78,85	9	74	5	64	1	3	2	7	1	0	0	0	0	0	
2023-08-06 08:50:18.307785	http://www.caint.ufop.br/read/1729-santander-oferece-bolsas-para-cursos-online-de-aprimoramento-de-ingles-profissional	77,24	28	112	9	101	0	4	18	4	1	0	0	0	0	3	
2023-08-06 08:50:57.482673	http://dri.ufop.br/see/1570-gcub-oferece-desconto-na-realizacao-do-exame-toefl-ibt-5	77,33	24	120	8	110	0	5	15	2	1	0	0	0	0	3	
2023-08-06 08:50:59.850834	https://nano.ufop.br/publications/professors-publications/ronaldo-j-c-batista	84,7	52	126	22	85	1	6	29	35	0	0	0	0	0	0	
2023-08-06 08:50:33.577170	http://www2.decom.ufop.br/imobilis/ibeacon-tudo-que-voce-precisa-saber/#comments	80,7	72	245	10	211	1	13	60	20	0	0	0	0	1	1	
2023-08-06 08:50:55.597351	https://culturafotograficaufop.blogspot.com/2020/05/galeria-eustaquio-neves.html	63,9	44	315	9	283	2	5	31	26	1	0	0	0	1	1	
2023-08-06 08:51:20.266054	http://www.cead.ufop.br/index.php/o-cead/detec?id=154	56,5	68	162	22	147	8	8	37	7	1	0	0	0	0	0	
2023-08-06 08:50:37.201088	http://pesquisaparitaria.assufop.com.br/author/assufopcomunica/	83,39	40	210	14	90	1	8	25	47	0	65	0	0	0	0	
2023-08-06 08:50:59.858401	https://www.caint.ufop.br/en/partnerships/cooperation-networks	87,77	23	149	11	138	0	4	11	4	1	0	0	0	0	3	
2023-08-06 08:51:24.288135	http://posnutricao.ufop.br/	78,39	22	127	13	109	1	5	7	12	1	0	0	0	0	1	
2023-08-06 08:51:25.128997	https://www.caint.ufop.br/see/1000-programa-epos-concede-bolsas-na-area-de-desenvolvimento-sustentavel	77,36	24	118	7	109	0	4	16	2	1	0	0	0	0	3	
2023-08-06 08:51:28.981441	https://decsi.ufop.br/n%C3%BAcleo-docente-estruturante-nde-computacao	79,95	7	56	4	47	1	4	1	5	1	0	0	0	0	0	
2023-08-06 08:51:32.467866	https://www.dri.ufop.br/documentos/formularios	77,01	47	140	18	130	0	4	28	3	1	0	0	0	0	3	
2023-08-06 08:51:39.825001	http://prace.ufop.br/assistencia-estudantil/orientacao-estudantil/programa-de-desenvolvimento-social-e-academico-prodesa	66,73	26	124	9	107	1	4	12	11	0	0	0	0	4	2	
2023-08-06 08:51:33.297895	https://cinevilarica.ufop.br/2022/06/01/confira-6-obras-cinematograficas-sobre-a-imprensa/#respond	83,43	20	213	12	207	1	5	7	1	0	0	0	0	0	0	
2023-08-06 08:51:44.128774	http://prace.ufop.br/assistencia-estudantil/orientacao-estudantil/projeto-bem-vindo-calouro	69,66	23	81	11	69	1	4	7	6	0	0	0	0	4	2	
2023-08-06 08:51:46.183893	https://prograd.ufop.br/estagios/vaga-de-estagio-cnpem	71,17	17	66	4	51	1	5	8	8	0	0	0	0	4	2	
2023-08-06 08:52:05.511055	http://www.cead.ufop.br/index.php/departamento-deete?id=166	73,11	43	80	11	67	0	7	31	6	1	0	0	0	0	0	
2023-08-06 08:51:32.810900	https://labespee.ufop.br/presentations/2020tecnologia-inova%C3%A7%C3%B5es-e-startups-no-esporte-cap%C3%ADtlo-de-livro	80,45	16	53	13	45	1	3	1	5	1	0	0	0	0	0	
2023-08-06 08:52:17.827139	http://escolha.ufop.br/cursos/artes-cenicas	63,95	13	47	3	41	1	2	4	2	1	0	0	0	4	2	
